Region,Subregion,Stock,Group,Name,EnglishName,ScientificName,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Flim,Fpa,Blim,Bpa,Bmsy,FMSY,MSY,MSYBtrigger,B40,M,Fofl,last_F,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.hi,q.start,q.end,btype,force.cmsy,Comment,,
Mediterranean,Adriatic Sea,Athe_boy_AD,Plankton feeders,Sand smelt in Adriatic Sea,Big scale sand smelt,Atherina boyeri,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,NA,NA,0.2,0.6,NA,NA,NA,0.01,0.4,NA,NA,None,F,"Catch=landings from FishStat (Italy, Croatia, Slovenia). RF final 0.3. GS final 0.4 because trawling was banned in 3 nm zone, causing decline in catch.",,
Mediterranean,Adriatic Sea,Belo_bel_AD,Large predators,Garfish in Adriatic Sea,Garfish,Belone belone,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,0.19,1,0.5,0.9,2000,0.01,0.4,0.01,0.3,NA,NA,None,F,"Catch=landings from FishStat (Italy, Croatia, Slovenia, Serbia and Montenegro). RF final 0.2. GS final 0.3, low catches caused by low demand. ",,
Mediterranean,Adriatic Sea,Boli_bra_AD,Plankton feeders,Purple dye murex in Adriatic,Purple dye murex,Bolinus brandaris,,1972,2015,1972,2015,,,,,,,,,,,,,High,NA,NA,0.5,0.9,1990,0.5,0.9,0.5,0.9,NA,NA,CPUE,F,Catch=landings from FishStat. CPUE from SOLEMON ,,
Mediterranean,Adriatic Sea,Boop_Boo_AD,Plankton feeders,Bogue in Adriatic Sea,Bogue,Boops boops,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,0.31,1.1,0.5,0.9,1990,0.01,0.4,0.01,0.4,NA,NA,None,F,"Catch=landings from FishStat (Yugoslavia, Italy, Croatia, Serbia and Montenegro, Slovenia). RF int 1990 0.01-0.4, final 0.3. GS final 0.4, decline in catches caused by low market demand.",,
Mediterranean,Adriatic Sea,Cham_gal_AD,Plankton feeders,Striped venus in Adriatic Sea,Venus clam,Chamelea gallina,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,NA,NA,0.2,0.6,1995,0.1,0.5,0.01,0.3,NA,NA,None,F,"Catch=landings from FishStat (Slovenia, Italy). RF int 1995 0.1-0.5, final 0.3. GS OK. Scarcella, G., Mosteiro Cabanelas, A. 2016. The clam fisheries sector in the EU/ the Adriatic Sea case. European Parliament's Committee on Fisheries. http://www.europarl.europa.eu/supporting-analyses. 40 pp",,
Mediterranean,Adriatic Sea,Cong_con_AD,Benthic fish & inv.,Conger eel in Adriatic Sea,Conger eel,Conger conger,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,0.16,0.46,0.2,0.6,2000,0.01,0.4,0.01,0.3,NA,NA,None,F,"Catch=landings from FishStat (Serbia and Montenegro, Slovenia, Italy, Croatia, Yugoslavia). RF int 2000 0.01-0.4, final 0.3. GS OK",,
Mediterranean,Adriatic Sea,Dent_den_AD,Benthic fish & inv.,Common dentex in Adriatic Sea,Dentex,Dentex dentex,,1970,2014,1970,2014,,,,,,,,,,,,,Low,0.15,0.73,0.2,0.6,1995,0.01,0.4,0.01,0.4,NA,NA,None,F,"Catch=landings from FishStat (Croatia, Italy, Serbia and Montenegro, Yugoslavia, Montenegro). GS OK",,
Mediterranean,Adriatic Sea,Engr_enc_AD,Plankton feeders,Anchovy in Adriatic Sea,European anchovy,Engraulis encrasicolus,"GFCM 2014 WGSP, EASME EMFF 2014, M from Colloca et al 2013",1970,2014,1975,2013,,,69500,,,0.3,,,,0.68,,0.87,High,0.26,1.16,0.5,0.9,1990,0.01,0.4,0.01,0.4,2004,2013,CPUE,F,"Landings from Stock assessment form GFCM 2015 (17+18) MEDIAS 17+18. GS OK, very similar to SAM",,
Mediterranean,Adriatic Sea,Hom_gam_AD,Benthic fish & inv.,Lobster in Adriatic Sea,Lobster,Homarus gammarus,,1970,2014,1970,2013,,,,,,,,,,,,,Medium,NA,NA,0.2,0.6,1995,0.01,0.4,0.01,0.3,NA,NA,None,F,"Catch=landings from FishStat (Croatia, Italy, Serbia and Montenegro, Yugoslavia). GS OK",,
Mediterranean,Adriatic Sea,Ille_coi_AD,Benthic fish & inv.,Shortfin squid in Adriatic Sea,Shortfin squid,Illex coindettii,,1970,2014,1985,2013,,,,,,,,,,,,,Medium,NA,NA,0.2,0.6,1995,0.01,0.4,0.01,0.3,2008,2013,CPUE,F,Catch=landings from FishStat (Italy). CPUE from MEDITS. RF final 0.3. GS OK [Thanasis source],,
