"Stock","yr","ct","bt",,,,,,,
"ENGRENC_AL",1970,6195,"NA",,,,,,,
"ENGRENC_AL",1971,7718,"NA",,,,,,,
"ENGRENC_AL",1972,8202,"NA",,,,,,,
"ENGRENC_AL",1973,7643,"NA",,,,,,,
"ENGRENC_AL",1974,5306,"NA",,,,,,,
"ENGRENC_AL",1975,4839,"NA",,,,,,,
"ENGRENC_AL",1976,8880,"NA",,,,,,,
"ENGRENC_AL",1977,7175,"NA",,,,,,,
"ENGRENC_AL",1978,7977,"NA",,,,,,,
"ENGRENC_AL",1979,11745,"NA",,,,,,,
"ENGRENC_AL",1980,12733,"NA",,,,,,,
"ENGRENC_AL",1981,10749,"NA",,,,,,,
"ENGRENC_AL",1982,13872,"NA",,,,,,,
"ENGRENC_AL",1983,12182,"NA",,,,,,,
"ENGRENC_AL",1984,17467,"NA",,,,,,,
"ENGRENC_AL",1985,18265,"NA",,,,,,,
"ENGRENC_AL",1986,17877,"NA",,,,,,,
"ENGRENC_AL",1987,24826,"NA",,,,,,,
"ENGRENC_AL",1988,19751,"NA",,,,,,,
"ENGRENC_AL",1989,16089,"NA",,,,,,,
"ENGRENC_AL",1990,15365,"NA",,,,,,,
"ENGRENC_AL",1991,14670,"NA",,,,,,,
"ENGRENC_AL",1992,15740,"NA",,,,,,,
"ENGRENC_AL",1993,15781,"NA",,,,,,,
"ENGRENC_AL",1994,19130,"NA","NA",10.375,,,,,
"ENGRENC_AL",1995,15235,"NA","NA",2.042,,,,,
"ENGRENC_AL",1996,16887,"NA",57.909,,,,,,
"ENGRENC_AL",1997,16810,"NA",58.784,,,,,,
"ENGRENC_AL",1998,27227,"NA",54.352,,,,,,
"ENGRENC_AL",1999,17606,"NA",23.497,,,,,,
"ENGRENC_AL",2000,13393,10000,21.125,,,,,,
"ENGRENC_AL",2001,19496,7500,"NA",10.958,,,,,
"ENGRENC_AL",2002,20364,9000,"NA",,,,,,
"ENGRENC_AL",2003,22007,13500,46.617,,,,,,
"ENGRENC_AL",2004,23167,16000,48.102,,,,,,
"ENGRENC_AL",2005,15247,16500,"NA",29.296,,,,,
"ENGRENC_AL",2006,26867,17500,81.566,,,,,,
"ENGRENC_AL",2007,24236,22500,"NA",,,,,,
"ENGRENC_AL",2008,21166,24000,49.034,,,,,,
"ENGRENC_AL",2009,21964,22000,"__",,,,,,
"ENGRENC_AL",2010,19488,15000,"__",,,,,,
"ENGRENC_AL",2011,16619,12500,"__",,,,,,
"ENGRENC_AL",2012,19493,10000,"__",,,,,,
"ENGRENC_AL",2013,16794,10000,"__",,,,,,
"ENGRENC_AL",2014,20320,"NA",,,,,,,
"ENGRENC_AL",2015,"NA","NA",,,,,,,
"EUTRGUR_AL",1970,300,"NA",,,,,,,
"EUTRGUR_AL",1971,600,"NA",,,,,,,
"EUTRGUR_AL",1972,685,"NA",,,,,,,
"EUTRGUR_AL",1973,449,"NA",,,,,,,
"EUTRGUR_AL",1974,286,"NA",,,,,,,
"EUTRGUR_AL",1975,162,"NA",,,,,,,
"EUTRGUR_AL",1976,423,"NA",,,,,,,
"EUTRGUR_AL",1977,366,"NA",,,,,,,
"EUTRGUR_AL",1978,910,"NA",,,,,,,
"EUTRGUR_AL",1979,755,"NA",,,,,,,
"EUTRGUR_AL",1980,735,"NA",,,,,,,
"EUTRGUR_AL",1981,424,"NA",,,,,,,
"EUTRGUR_AL",1982,110,"NA",,,,,,,
"EUTRGUR_AL",1983,265,"NA",,,,,,,
"EUTRGUR_AL",1984,379,"NA",,,,,,,
"EUTRGUR_AL",1985,300,"NA",,,,,,,
"EUTRGUR_AL",1986,358,"NA",,,,,,,
"EUTRGUR_AL",1987,103,"NA",,,,,,,
"EUTRGUR_AL",1988,595,"NA",,,,,,,
"EUTRGUR_AL",1989,1085,"NA",,,,,,,
"EUTRGUR_AL",1990,1034,"NA",,,,,,,
"EUTRGUR_AL",1991,991,"NA",,,,,,,
"EUTRGUR_AL",1992,2015,"NA",,,,,,,
"EUTRGUR_AL",1993,1099,"NA",,,,,,,
"EUTRGUR_AL",1994,1077,"NA",,,,,,,
