"Stock","yr","ct","bt",
"Geny_bla_CapeHoweManningTweed",1950,29.00709239,"NA",
"Geny_bla_CapeHoweManningTweed",1951,31.89798404,"NA",
"Geny_bla_CapeHoweManningTweed",1952,34.8021799,"NA",
"Geny_bla_CapeHoweManningTweed",1953,37.70408192,"NA",
"Geny_bla_CapeHoweManningTweed",1954,40.55735474,"NA",
"Geny_bla_CapeHoweManningTweed",1955,43.45650418,"NA",
"Geny_bla_CapeHoweManningTweed",1956,46.33363284,"NA",
"Geny_bla_CapeHoweManningTweed",1957,49.24608649,"NA",
"Geny_bla_CapeHoweManningTweed",1958,52.12046255,"NA",
"Geny_bla_CapeHoweManningTweed",1959,55.04209153,"NA",
"Geny_bla_CapeHoweManningTweed",1960,57.8985757,"NA",
"Geny_bla_CapeHoweManningTweed",1961,60.69358522,"NA",
"Geny_bla_CapeHoweManningTweed",1962,63.61842555,"NA",
"Geny_bla_CapeHoweManningTweed",1963,66.64740582,"NA",
"Geny_bla_CapeHoweManningTweed",1964,71.00054849,"NA",
"Geny_bla_CapeHoweManningTweed",1965,73.88042974,"NA",
"Geny_bla_CapeHoweManningTweed",1966,76.02184523,"NA",
"Geny_bla_CapeHoweManningTweed",1967,78.89897388,"NA",
"Geny_bla_CapeHoweManningTweed",1968,81.71816207,6926,
"Geny_bla_CapeHoweManningTweed",1969,84.62405707,6926,
"Geny_bla_CapeHoweManningTweed",1970,87.88946372,6926,
"Geny_bla_CapeHoweManningTweed",1971,90.93950612,6926,
"Geny_bla_CapeHoweManningTweed",1972,93.59721103,6926,
"Geny_bla_CapeHoweManningTweed",1973,96.26294697,6926,
"Geny_bla_CapeHoweManningTweed",1974,99.14144425,6926,
"Geny_bla_CapeHoweManningTweed",1975,102.0841915,6926,
"Geny_bla_CapeHoweManningTweed",1976,105.053577,6926,
"Geny_bla_CapeHoweManningTweed",1977,241.8224122,6926,
"Geny_bla_CapeHoweManningTweed",1978,299.7366746,6886.7,
