"Stock","yr","ct","bt",,,,,,,,,
"Alop_sup_IndianOcean",1950,2485.335249,,,,,,,,,,
"Alop_sup_IndianOcean",1951,2648.771382,,,,,,,,,,
"Alop_sup_IndianOcean",1952,2679.851842,,,,,,,,,,
"Alop_sup_IndianOcean",1953,2509.820582,,,,,,,,,,
"Alop_sup_IndianOcean",1954,2602.323305,,,,,,,,,,
"Alop_sup_IndianOcean",1955,2761.979566,,,,,,,,,,
"Alop_sup_IndianOcean",1956,2673.697157,,,,,,,,,,
"Alop_sup_IndianOcean",1957,2925.886456,,,,,,,,,,
"Alop_sup_IndianOcean",1958,3218.741615,,,,,,,,,,
"Alop_sup_IndianOcean",1959,3246.888701,,,,,,,,,,
"Alop_sup_IndianOcean",1960,4120.817942,,,,,,,,,,
"Alop_sup_IndianOcean",1961,3703.80304,,,,,,,,,,
"Alop_sup_IndianOcean",1962,4756.245382,,,,,,,,,,
"Alop_sup_IndianOcean",1963,6841.413737,,,,,,,,,,
"Alop_sup_IndianOcean",1964,8657.959661,,,,,,,,,,
"Alop_sup_IndianOcean",1965,9100.676055,,,,,,,,,,
"Alop_sup_IndianOcean",1966,12216.23154,,,,,,,,,,
"Alop_sup_IndianOcean",1967,11546.15756,,,,,,,,,,
"Alop_sup_IndianOcean",1968,11683.10758,,,,,,,,,,
"Alop_sup_IndianOcean",1969,10523.04572,,,,,,,,,,
"Alop_sup_IndianOcean",1970,14021.05452,,,,,,,,,,
"Alop_sup_IndianOcean",1971,8847.595125,,,,,,,,,,
"Alop_sup_IndianOcean",1972,10212.00454,,,,,,,,,,
"Alop_sup_IndianOcean",1973,11153.48686,,,,,,,,,,
"Alop_sup_IndianOcean",1974,15852.78614,,,,,,,,,,
"Alop_sup_IndianOcean",1975,16888.84017,,,,,,,,,,
"Alop_sup_IndianOcean",1976,15871.55067,,,,,,,,,,
"Alop_sup_IndianOcean",1977,15406.84991,,,,,,,,,,
"Alop_sup_IndianOcean",1978,9559.280347,,,,,,,,,,
"Alop_sup_IndianOcean",1979,14107.26019,,,,,,,,,,
"Alop_sup_IndianOcean",1980,8285.370971,,,,,,,,,,
"Alop_sup_IndianOcean",1981,10772.60698,,,,,,,,,,
"Alop_sup_IndianOcean",1982,11267.12554,,,,,,,,,,
"Alop_sup_IndianOcean",1983,12799.24493,,,,,,,,,,
"Alop_sup_IndianOcean",1984,12337.02729,,,,,,,,,,
