"Ready?","Region","Subregion","Stock","Group","Name","EnglishName","ScientificName","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","last_F","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","q.start","q.end","btype","force.cmsy","Comment"
"Y","IOTC","Indian Ocean","Alop_sup_IndianOcean","Large sharks (>=90 cm)","Bigeye thresher in Gulf of Oman","Bigeye thresher","Alopias superciliosus","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low",0.01,0.67,0.8,1,"NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
"Y","IOTC; SIOFA","Indian Ocean","Alop_vul_IndianOcean","Large sharks (>=90 cm)","Thresher in Indian Ocean","Thresher","Alopias vulpinus","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low","NA","NA",0.8,1,"NA","NA","NA","NA","NA","NA","NA","None","F","RF changed resilience from Very low to Low. OK 14/05/18."
,"GFCM;ICCAT","Mediterranean","Angu_ang_Med","Large demersals (>=90 cm)","European eel in Mediterranean","European eel","Anguilla anguilla",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low","NA","NA",0.6,1,"NA","NA","NA",0.01,0.2,"NA","NA","CPUE","F","RF changed final depletion prior to 0.01-0.2. OK 14/05/18."
"Y","FAO area 27 and 21","North Atlantic","Apha_car_NorthAtlantic","Large benthopelagics (>=90 cm)","Black scabbardfish in North Atlantic","Black scabbardfish","Aphanopus carbo",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low","NA","NA",0.9,1,"NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
,"GFCM;ICCAT","Mediterranean","Aris_ant_Med","Shrimps","Blue and red shrimp in Alboran Sea","Blue and red shrimp","Aristeus antennatus","http://www.fao.org/gfcm/reports/technical-meetings/detail/en/c/471253/",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","RF OK 14/05/18. CPUE from ARITANT_BA Biomass from Medits for GSAs 1-6"
"Y","IOTC","Indian Ocean","Auxi_roc_IndianOcean","Medium pelagics (30 - 89 cm)","Bullet tuna in Indian Ocean","Bullet tuna","Auxis rochei","http://www.iotc.org/sites/default/files/documents/science/species_summaries/english/Bullet%20tuna%20Supporting%20Information.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.68,1.2,"NA","NA",2002,0.4,0.8,"NA","NA","NA","NA","CPUE","T","RF OK 14/05/18. CPUE from IOTC, Sri Lanka Gill-net, incompatible with catch and ignored."
,"ICCAT","Mediterranean","Auxi_roc_Med","Medium pelagics (30 - 89 cm)","Bullet tuna in Mediterranean","Bullet tuna","Auxis rochei",,1958,2014,1958,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.68,1.2,0.8,1,"NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
"Y","IOTC","Indian Ocean","Auxi_tha_IndianOcean","Medium pelagics (30 - 89 cm)","Frigate tuna in Indian Ocean","Frigate tuna","Auxis thazard","http://www.iotc.org/science/status-summary-species-tuna-and-tuna-species-under-iotc-mandate-well-other-species-impacted-iotc",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.68,1.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
,"NEAFC;NASCO;ICCAT;FAO27","North East Atlantic Ocean","Bery_spl_NorthEastAtlantic","Medium benthopelagics (30 - 89 cm)","Splendid alfonsino in North East Atlantic Ocean","Splendid alfonsino","Beryx splendens","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
"Y","IOTC","Indian Ocean","Carc_fal_IndianOcean","Large sharks (>=90 cm)","Silky shark in Indian Ocean","Silky shark","Carcharhinus falciformis","http://www.iotc.org/science/status-summary-species-tuna-and-tuna-species-under-iotc-mandate-well-other-species-impacted-iotc",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Very low","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
"Y","IOTC; SIOFA; CCSBT","Indian Ocean","Cory_hip_IndianOcean","Large pelagics (>=90 cm)","Common dolphinfish in Indian Ocean","Common dolphinfish","Coryphaena hippurus","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","High",0.39,1.54,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
,"GFCM;ICCAT","Mediterranean","Cory_hip_Med","Large pelagics (>=90 cm)","Common dolphinfish in Mediterranean","Common dolphinfish","Coryphaena hippurus",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18. The slow decline in catches is incompatible with expected high resilience of the species. Probably much higher catches in the past, followed by steeper decline. In the analysis as presented, r is probably too low."
,"WCPFC","Western Pacific Ocean","Cory_hip_WCPFC","Large pelagics (>=90cm)","Common dolphinfish in Western Pacific","Common dolphinfish","Coryphaena hippurus",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","High","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
,"GFCM;ICCAT","Mediterranean","Engr_enc_Med","Small pelagics (<30 cm)","European anchovy in Mediterranean","European anchovy","Engraulis encrasicolus",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","High",0.26,1.16,"NA","NA",2002,0.1,0.5,"NA","NA",2002,2010,"CPUE","F","RF OK 14/05/18. CPUE used ENGRENC_BA. Stock ENGRENC_LI Biomass from MEDIAS for GSA7, ENGRENC_BA  Average Biomass from MEDIAS for GSAs 1 & 6. ENGRENC_SA Biomass from MEDIAS for GSAs 8-10."
