"Region","Subregion","Stock","Group","Name","EnglishName","ScientificName","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","last_F","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","q.start","q.end","e.creep","btype","force.cmsy","Comment"
"Northeast Atlantic","Celtic Seas","anb-78ab","Benthic fish & inv.","Black-bellied anglerfish in Divisions VIIb–k and VIIIa,b,d (West and Southwest of Ireland, Bay of Biscay)","Black-bellied anglerfish","Lophius budegassa","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/anb-78ab.pdf",1986,2015,1997,2015,,,,,,,,,,,,,"Low",0.29,0.66,0.35,0.65,"NA","NA","NA",0.35,0.65,"NA","NA","NA","CPUE","F",
"Northeast Atlantic","Bay of Biscay and Iberian coast","anb-8c9a","Benthic fish & inv.","Black-bellied anglerfish in Divisions VIIIc and IXa (Cantabrian Sea, Atlantic Iberian waters)","Black-bellied anglerfish","Lophius budegassa","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/anb-8c9a.pdf",1980,2015,1980,2015,,,,,1,,,,,,,0.52,"Low",0.29,0.66,0.35,0.65,2000,0.01,0.4,0.35,0.65,"NA","NA","NA","CPUE","F",
"Northeast Atlantic","Bay of Biscay and Iberian coast","ane-bisc","Plankton feeders","Anchovy in  in Subarea VIII (Bay of Biscay) ","European anchovy","Engraulis encrasicolus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/ane-bisc.pdf",1960,2015,1987,2015,,,21000,,,,,,,,,,"Medium",0.39,0.91,0.01,0.2,2005,0.01,0.3,0.5,0.85,2010,2014,"NA","CPUE","F",
"Northeast Atlantic","Bay of Biscay and Iberian coast","ane-pore","Plankton feeders","Anchovy in Division IXa (Atlantic Iberian Waters) ","European anchovy","Engraulis encrasicolus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/ane-pore.pdf",1988,2015,2001,2015,,,,,,,,,,,,,"Medium",0.39,0.91,0.15,0.4,2005,0.01,0.3,0.15,0.4,2003,2009,"NA","CPUE","F",
"Northeast Atlantic","Bay of Biscay and Iberian coast","anp-78ab","Benthic fish & inv.","White anglerfish in Divisions  VIIb–k and VIIIa,b,d (Southern Celtic Seas, Bay of Biscay)","Angler","Lophius piscatorius","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/anp-78ab.pdf",1986,2015,1997,2015,,,,,,0.61,,19400,,,,,"Medium",0.32,0.72,0.15,0.4,2000,0.01,0.4,"NA","NA",2003,2006,"NA","CPUE","F",
"Northeast Atlantic","Faroes","arg-5b6a","Benthic fish & inv.","Greater silver smelt in Divisions Vb and VIa (Faroes grounds, West of Scotland)","Greater silver smelt","Argentina silus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/arg-5b6a.pdf",1988,2014,1996,2014,,,,,,,,,,,,,"Low",0.23,0.62,0.5,0.85,2002,0.01,0.3,"NA","NA","NA","NA","NA","CPUE","F",
"Northeast Atlantic","Greenland Sea","arg-icel","Benthic fish & inv.","Greater silver smelt in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)","Greater silver smelt","Argentina silus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/arg-icel.pdf",1988,2015,2000,2015,,,,,,0.17,,,,,,0.13,"Low",0.23,0.62,0.15,0.4,2007,0.01,0.4,0.35,0.65,2004,2007,"NA","CPUE","F",
"Northeast Atlantic","Greenland Sea","bli-5a14","Benthic fish & inv.","Blue ling in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)","Blue ling","Molva dypterygia","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/bli-5a14.pdf",1973,2015,2000,2015,,,,,,,,,,,,1.56,"Low",0.23,0.52,0.15,0.4,2004,0.01,0.4,0.15,0.4,2001,2005,"NA","CPUE","F",
"Northeast Atlantic","Celtic Seas","bli-5b67","Benthic fish & inv.","Blue ling in subareas 6–7 and Division 5.b (Celtic Seas, English Channel, and Faroes grounds)","Blue ling","Molva dypterygia","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/bli-5b67.pdf",1966,2015,1995,2015,0.17,0.12,54000,75037,,0.12,,75000,,,,0.03,"Low",0.23,0.52,0.15,0.4,2005,0.15,0.4,0.35,0.65,2004,2007,"NA","CPUE","F",
"Northeast Atlantic","Baltic Sea","bll-2232","Benthic fish & inv.","Brill in Subdivisions 22–32 (Baltic Sea)","Brill","Scophthalmus rhombus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/bll-2232.pdf",1970,2015,2001,2015,,,,,,,,,,,,0.88,"Medium",0.31,0.71,0.01,0.2,2008,0.35,0.65,0.15,0.4,2005,2010,"NA","CPUE","F",
"Northeast Atlantic","Greater North Sea","bll-nsea","Benthic fish & inv.","Brill in Subarea IV, Divisions IIIa and VIId,e","Brill","Scophthalmus rhombus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/bll-nsea.pdf",1987,2014,1987,2014,,,,,,,,,,,,,"Medium",0.31,0.71,0.35,0.65,2005,0.01,0.4,0.5,0.85,1995,2001,"NA","CPUE","F",
"Mediterranean","Ionian Sea","BOOPBOO_IS","Plankton feeders","Bogue in Ionian Sea","Bogue","Boops boops",,1970,2014,1994,2010,,,,,,,,,,,,,"Medium",0.29,0.89,0.35,0.65,1995,0.2,0.6,0.01,0.3,1994,2010,,"CPUE","F",
"Northeast Atlantic","Greater North Sea","Bss-47","Large predators","Seabass in Divisions IVb and c, VIIa, and VIId–h (Central and South North Sea, Irish Sea, English Channel, Bristol Channel, Celtic Sea)","European seabass","Dicentrarchus labrax","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/bss-47.pdf",1985,2015,1985,2015,,,8075,12673,,,,12673,,,,0.3,"Medium",0.35,0.84,0.15,0.4,2000,0.01,0.4,"NA","NA",2000,2005,"NA","CPUE","F",
"Northeast Atlantic","Bay of Biscay and Iberian coast","Bss-8ab","Large predators","Sea bass in Divisions VIIIa,b (Bay of Biscay North and Central) ","European seabass","Dicentrarchus labrax","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/Bss-8ab.pdf",2000,2014,2000,2014,,,,,,,,,,,,,"Medium",0.35,0.84,0.35,0.65,2005,0.01,0.4,0.35,0.65,"NA","NA","NA","CPUE","F",
"Northeast Atlantic","Barents Sea","cap-bars","Plankton feeders","Capelin in Subareas I and II (Northeast Arctic), excluding Division IIa west of 5°W","Barents Sea capelin","Mallotus villosus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/cap-bars.pdf",1972,2015,1972,2015,,,200000,,,,,,,,,,"Medium",0.27,0.62,0.35,0.65,1987,0.01,0.2,0.01,0.3,1976,1982,"NA","CPUE","F",
"Northeast Atlantic","Iceland Sea","cap-icel","Plankton feeders","Capelin in Subareas V and XIV and Division IIa west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)","Capelin","Mallotus villosus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/cap-icel.pdf",1979,2016,1979,2016,,,150000,,,,,,,,,,"Medium",0.27,0.62,0.15,0.4,1990,0.01,0.4,0.01,0.3,"NA","NA","NA","CPUE","F",
"Northeast Atlantic","Baltic Sea","cod-2224","Large predators","Cod in Sub-division 22 to 24","Atlantic cod","Gadus morhua","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/cod-2224.pdf",1970,2015,1994,2015,1.01,0.74,27400,38400,,0.26,,38400,,,,0.88,"Medium",0.34,0.78,0.15,0.4,2009,0.01,0.25,"NA","NA",2009,2014,"NA","CPUE","F",
